driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Base_47,4,G,D,GB->BA->AD,53.0,466.23,42.2,0.1249
Base_74,2,A,G,AB->BG,72.0,316.23,35.35,0.2758
Base_44,4,C,E,CH->HF->FE,41.0,428.03,39.39,0.1995
Base_4,4,G,B,GB,12.0,158.11,47.92,0.025
Base_18,4,D,A,DA,14.0,150.0,39.64,0.1586
Base_34,3,J,C,JC,11.0,150.0,50.0,0.0
Base_54,3,D,F,DJ->JC->CH->HF,58.0,600.19,38.1,0.2334
Base_69,4,E,H,EF->FH,29.0,316.23,41.38,0.1303
Base_1,4,F,G,FG,11.0,141.42,50.0,0.0
Base_29,4,J,E,JI->IE,24.0,316.23,48.54,0.0175
Base_76,5,B,G,BG,23.0,158.11,26.36,0.4645
Base_45,2,D,I,DJ->JI,39.0,338.39,32.44,0.3441
Base_51,4,B,A,BA,17.0,158.11,35.0,0.2494
Base_28,6,E,F,EF,13.0,158.11,43.85,0.1031
Base_30,4,I,B,IH->HB,47.0,299.54,26.09,0.4717
Base_6,6,C,H,CH,9.0,111.8,46.11,0.0467
Base_66,5,B,C,BC,11.0,150.0,49.55,0.0055
Base_27,5,E,C,EI->IH->HC,50.0,428.03,38.1,0.2332
Base_67,3,A,D,AD,11.0,150.0,50.0,0.0
Base_31,4,D,A,DA,12.0,150.0,47.92,0.025
Base_33,1,F,D,FH->HC->CJ->JD,133.0,600.19,25.75,0.4817
Base_55,4,G,F,GF,11.0,141.42,48.18,0.0218
Base_38,2,E,D,EI->IJ->JD,109.0,496.51,40.11,0.1822
Base_64,3,F,A,FH->HB->BA,87.0,457.65,37.82,0.2246
Base_71,3,G,J,GB->BC->CJ,66.0,458.11,33.91,0.3053
Base_73,2,I,A,IH->HB->BA,94.0,457.65,27.98,0.4288
Base_15,5,A,D,AD,11.0,150.0,50.0,0.0
Base_46,5,I,E,IE,13.0,158.11,46.15,0.0462
Base_47,5,D,A,DA,12.0,150.0,47.08,0.04
Base_56,5,G,J,GB->BC->CJ,73.0,458.11,34.73,0.2888
Base_79,3,H,J,HC->CJ,69.0,261.8,35.36,0.2742
Base_11,2,H,G,HB->BG,82.0,299.54,25.56,0.4854
Base_14,5,C,E,CH->HF->FE,38.0,428.03,41.18,0.1537
Base_2,4,B,G,BG,22.0,158.11,26.36,0.4645
Base_12,4,D,I,DJ->JI,51.0,338.39,32.89,0.3421
Base_20,3,C,E,CH->HF->FE,38.0,428.03,41.71,0.1421
Base_21,6,H,A,HB->BA,37.0,299.54,33.79,0.3018
Base_34,4,C,B,CB,11.0,150.0,50.0,0.0
Base_41,4,I,B,IH->HB,75.0,299.54,26.13,0.4706
Base_58,6,B,I,BH->HI,23.0,299.54,49.35,0.0078
Base_59,4,J,E,JI->IE,26.0,316.23,46.54,0.0415
