driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Traffic_4,8,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,8,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,8,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,8,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,9,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,9,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,9,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,9,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,9,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,9,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,9,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,9,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,10,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,10,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,10,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,10,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,10,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,10,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,10,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,10,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,11,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,11,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,11,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,11,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,11,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,11,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,11,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,11,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,12,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,12,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,12,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,12,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,12,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,12,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,12,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,12,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,13,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,13,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,13,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,13,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,13,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,13,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,13,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,13,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,14,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,14,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,14,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,14,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,14,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,14,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,14,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,14,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,15,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,15,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,15,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,15,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,15,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,15,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,15,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,15,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,16,A,P,AE->EF->FJ->JO->OP,87.0,541.42,27.51,0.4302
Traffic_1,16,A,P,AE->EF->FJ->JO->OP,87.0,541.42,27.71,0.4261
Traffic_2,16,E,P,EF->FJ->JO->OP,46.0,441.42,35.6,0.1848
